id,modelVersion,parent,groupId,artifactId,version,name,url,releaseDate,organization,dependenciesAmount,repositoriesAmount,mavenErrorMessage,
org.apache.commons:commons-compress:jar:1.4.1,4.0.0,org.apache.commons:commons-parent:pom:24,org.apache.commons,commons-compress,1.4.1,Commons Compress,http://commons.apache.org/compress/,44358-11-04 12:40:00 UTC,,2,0,
com.jcraft:jsch:jar:0.1.42,4.0.0,,com.jcraft,jsch,0.1.42,JSch,http://www.jcraft.com/jsch/,41567-09-21 14:10:00 UTC,jcraft,1,0,
com.github.stephenc.findbugs:findbugs-annotations:jar:1.3.9-1,4.0.0,org.sonatype.oss:oss-parent:pom:5,com.github.stephenc.findbugs,findbugs-annotations,1.3.9-1,Findbugs Annotations under Apache License,http://stephenc.github.com/findbugs-annotations,43269-11-19 07:26:40 UTC,,2,0,
junit:junit:jar:4.12,4.0.0,,junit,junit,4.12,JUnit,http://junit.org,46895-06-08 23:16:40 UTC,JUnit,1,0,
org.objenesis:objenesis:jar:1.0,4.0.0,,org.objenesis,objenesis,1.0,Objenesis,http://objenesis.googlecode.com/svn/docs/index.html,39342-04-05 13:56:40 UTC,,0,0,
[inherited]:wagon-provider-api:jar:1.0-beta-2,4.0.0,org.apache.maven.wagon:wagon:pom:1.0-beta-2,null,wagon-provider-api,1.0-beta-2,Maven Wagon API,null,38917-10-31 11:36:40 UTC,,1,0,
org.apache.commons:commons-compress:jar:1.5,4.0.0,org.apache.commons:commons-parent:pom:28,org.apache.commons,commons-compress,1.5,Commons Compress,http://commons.apache.org/compress/,45161-03-14 19:36:40 UTC,,2,0,
javax.annotation:javax.annotation-api:jar:1.2,4.0.0,net.java:jvnet-parent:pom:3,javax.annotation,javax.annotation-api,1.2,${extension.name} API,http://jcp.org/en/jsr/detail?id=250,45288-06-09 01:06:40 UTC,GlassFish Community,0,0,
[inherited]:plexus-i18n:jar:1.0-beta-7,4.0.0,org.codehaus.plexus:plexus-components:pom:1.1.12,null,plexus-i18n,1.0-beta-7,Plexus I18N Component,null,39218-05-11 08:00:00 UTC,,1,0,
commons-digester:commons-digester:jar:1.6,4.0.0,,commons-digester,commons-digester,1.6,null,null,37863-04-18 11:33:20 UTC,,5,0,
commons-logging:commons-logging:jar:1.2,4.0.0,org.apache.commons:commons-parent:pom:34,commons-logging,commons-logging,1.2,Apache Commons Logging,http://commons.apache.org/proper/commons-logging/,46479-06-29 14:56:40 UTC,,5,0,
[inherited]:asm:jar:3.0,4.0.0,asm:asm-parent:pom:3.0,null,asm,3.0,ASM Core,null,39074-09-07 18:23:20 UTC,,0,0,
javax.servlet:javax.servlet-api:jar:3.1.0,4.0.0,net.java:jvnet-parent:pom:3,javax.servlet,javax.servlet-api,3.1.0,Java Servlet API,http://servlet-spec.java.net,45286-05-30 20:56:40 UTC,GlassFish Community,0,1,
org.glassfish.hk2:osgi-resource-locator:jar:1.0.1,4.0.0,org.glassfish:pom:pom:8,org.glassfish.hk2,osgi-resource-locator,1.0.1,OSGi resource locator bundle - used by various API providers that rely on META-INF/services mechanism to locate providers.,null,43004-09-22 01:56:40 UTC,,2,0,
com.sun.xml.bind:jaxb-core:jar:[inherited],4.0.0,com.sun.xml.bind.mvn:jaxb-bundles:pom:2.2.11,com.sun.xml.bind,jaxb-core,null,Old JAXB Core,null,46744-04-08 01:06:40 UTC,,12,0,
org.yaml:snakeyaml:bundle:1.14,4.0.0,,org.yaml,snakeyaml,1.14,SnakeYAML,http://www.snakeyaml.org,46629-07-06 06:33:20 UTC,,4,0,
org.easymock:easymock:jar:2.2,4.0.0,,org.easymock,easymock,2.2,EasyMock,http://www.easymock.org,38269-03-28 12:20:00 UTC,,0,0,
[inherited]:multiverse-core:jar:[inherited],4.0.0,org.multiverse:multiverse:pom:0.7.0,null,multiverse-core,null,The Multiverse Code (so API and implementation),null,44236-03-09 23:56:40 UTC,,2,0,
com.fasterxml.jackson.core:jackson-core:jar:2.2.3,4.0.0,com.fasterxml:oss-parent:pom:10,com.fasterxml.jackson.core,jackson-core,2.2.3,Jackson-core,http://wiki.fasterxml.com/JacksonHome,45612-08-13 23:16:40 UTC,,1,0,
org.apache.activemq.protobuf:activemq-protobuf:maven-plugin:1.1,4.0.0,org.apache.activemq.protobuf:activemq-protobuf-pom:pom:1.1,org.apache.activemq.protobuf,activemq-protobuf,1.1,ActiveMQ Protocol Buffers Implementation and Compiler,null,42558-02-20 21:20:00 UTC,,3,0,
com.esotericsoftware.minlog:minlog:jar:1.2,4.0.0,,com.esotericsoftware.minlog,minlog,1.2,MinLog,http://code.google.com/p/minlog/,44384-05-03 14:56:40 UTC,,0,0,
[inherited]:wagon-provider-api:jar:[inherited],4.0.0,org.apache.maven.wagon:wagon:pom:1.0-beta-7,null,wagon-provider-api,null,Maven Wagon API,null,42838-06-25 12:56:40 UTC,,2,0,
org.ops4j.pax.swissbox:pax-swissbox-core:bundle:1.5.1,4.0.0,org.ops4j.pax:swissbox:pom:1.5.1,org.ops4j.pax.swissbox,pax-swissbox-core,1.5.1,OPS4J Pax Swissbox :: OSGi Core,null,44453-05-25 15:20:00 UTC,,2,0,
org.ops4j.pax.swissbox:pax-swissbox-optional-jcl:bundle:[inherited],4.0.0,org.ops4j.pax:swissbox:pom:1.5.0,org.ops4j.pax.swissbox,pax-swissbox-optional-jcl,null,OPS4J Pax Swissbox :: Optional JCL,null,44063-12-03 17:53:20 UTC,,0,0,
[inherited]:wagon-http-lightweight:jar:[inherited],4.0.0,org.apache.maven.wagon:wagon-providers:pom:1.0-beta-7,null,wagon-http-lightweight,null,Maven Wagon Lightweight HTTP Provider,null,42838-06-28 07:03:20 UTC,,1,0,
ant:ant:jar:1.6.5,4.0.0,org.apache:apache:pom:4,ant,ant,1.6.5,null,null,37863-04-16 14:50:00 UTC,,2,0,
[inherited]:wagon-provider-api:jar:[inherited],4.0.0,org.apache.maven.wagon:wagon:pom:1.0,null,wagon-provider-api,null,Maven Wagon API,null,43482-01-10 18:46:40 UTC,,2,0,
[inherited]:org.apache.felix.framework:bundle:4.2.1,4.0.0,org.apache.felix:felix-parent:pom:2.1,null,org.apache.felix.framework,4.2.1,Apache Felix Framework,null,45154-09-06 08:36:40 UTC,,0,0,
com.github.jnr:jnr-enxio:jar:0.12,4.0.0,org.sonatype.oss:oss-parent:pom:7,com.github.jnr,jnr-enxio,0.12,jnr-enxio,http://github.com/jnr/jnr-enxio,48159-03-04 12:43:20 UTC,,3,0,
com.github.jnr:jnr-unixsocket:jar:0.12,4.0.0,org.sonatype.oss:oss-parent:pom:7,com.github.jnr,jnr-unixsocket,0.12,jnr-unixsocket,http://github.com/jnr/jnr-unixsocket,48159-03-07 18:30:00 UTC,,5,0,
net.sf.jopt-simple:jopt-simple:jar:4.6,4.0.0,org.sonatype.oss:oss-parent:pom:7,net.sf.jopt-simple,jopt-simple,4.6,JOpt Simple,http://pholser.github.com/jopt-simple,45984-10-19 17:13:20 UTC,,5,0,
com.beust:jcommander:jar:1.47,4.0.0,org.sonatype.oss:oss-parent:pom:3,com.beust,jcommander,1.47,JCommander,http://beust.com/jcommander,46934-02-24 09:06:40 UTC,,1,0,
eclipse:jdtcore:jar:3.2.0.v_658,4.0.0,,eclipse,jdtcore,3.2.0.v_658,null,null,38273-10-17 19:56:40 UTC,,0,0,
org.apache.tiles:tiles-template:jar:[inherited],4.0.0,org.apache.tiles:tiles-parent:pom:2.2.2,org.apache.tiles,tiles-template,null,Tiles - Template Technologies Support,null,42424-11-02 03:30:00 UTC,,5,0,
[inherited]:tiles-ognl:jar:[inherited],4.0.0,org.apache.tiles:tiles-parent:pom:3.0.5,null,tiles-ognl,null,Tiles - OGNL support,null,46694-02-12 14:40:00 UTC,,6,0,
[inherited]:tiles-velocity:jar:[inherited],4.0.0,org.apache.tiles:tiles-parent:pom:3.0.5,null,tiles-velocity,null,Tiles - Velocity Support,null,46694-02-11 20:20:00 UTC,,10,0,
[inherited]:maven-repository-metadata:jar:[inherited],4.0.0,org.apache.maven:maven:pom:3.1.0,null,maven-repository-metadata,null,Maven Repository Metadata Model,null,45459-03-04 18:00:00 UTC,,1,0,
org.slf4j:jcl-over-slf4j:jar:[inherited],4.0.0,org.slf4j:slf4j-parent:pom:1.5.6,org.slf4j,jcl-over-slf4j,null,JCL 1.1.1 implemented over SLF4J,http://www.slf4j.org,40860-10-27 15:43:20 UTC,,1,0,
org.apache.ant:ant-junit:jar:1.8.1,4.0.0,org.apache.ant:ant-parent:pom:1.8.1,org.apache.ant,ant-junit,1.8.1,null,null,42299-02-24 16:13:20 UTC,,2,0,
org.scala-lang:scala-reflect:jar:2.11.0,4.0.0,,org.scala-lang,scala-reflect,2.11.0,Scala Compiler,http://www.scala-lang.org/,46259-06-09 14:16:40 UTC,LAMP/EPFL,1,0,
org.apache.ant:ant-testutil:jar:1.8.2,4.0.0,org.apache.ant:ant-parent:pom:1.8.2,org.apache.ant,ant-testutil,1.8.2,Apache Ant Test Utilities,null,42958-04-27 06:33:20 UTC,,2,0,
dom4j:dom4j:jar:1.1,4.0.0,,dom4j,dom4j,1.1,null,null,37554-11-10 08:40:00 UTC,,0,0,
org.xerial.thirdparty:nestedvm:jar:1.0,4.0.0,org.xerial:xerial-project:pom:1.0,org.xerial.thirdparty,nestedvm,1.0,nestedvm,null,40473-07-02 03:36:40 UTC,,1,0,
[inherited]:asm-commons:jar:[inherited],4.0.0,asm:asm-parent:pom:2.2.3,null,asm-commons,null,ASM Commons,null,38625-04-23 03:13:20 UTC,,1,0,
[inherited]:maven-settings:jar:2.0.4,4.0.0,org.apache.maven:maven:pom:2.0.4,null,maven-settings,2.0.4,Maven Local Settings Model,null,38318-04-15 07:43:20 UTC,,3,0,
org.apache.maven:maven-model:jar:2.0.4,4.0.0,org.apache.maven:maven:pom:2.0.4,org.apache.maven,maven-model,2.0.4,Maven Model,null,38318-04-15 12:10:00 UTC,,1,0,
com.fasterxml.jackson.core:jackson-annotations:jar:2.2.1,4.0.0,com.fasterxml:oss-parent:pom:10,com.fasterxml.jackson.core,jackson-annotations,2.2.1,Jackson-annotations,http://wiki.fasterxml.com/JacksonHome,45308-06-15 14:43:20 UTC,,0,0,
[inherited]:geronimo-jms_1.1_spec:jar:1.0.1,4.0.0,org.apache.geronimo.specs:specs:pom:1.1,null,geronimo-jms_1.1_spec,1.0.1,JMS,null,38459-04-14 17:00:00 UTC,,2,0,
[inherited]:guice-bean-containers:jar:[inherited],4.0.0,org.sonatype.sisu.inject:guice-bean:pom:2.3.0,null,guice-bean-containers,null,Sisu-Inject-Bean : Container API,null,43668-10-20 15:16:40 UTC,,11,0,
[inherited]:jul-to-slf4j:jar:[inherited],4.0.0,org.slf4j:slf4j-parent:pom:1.7.10,null,jul-to-slf4j,null,JUL to SLF4J bridge,http://www.slf4j.org,46986-03-28 03:00:00 UTC,,2,0,
[inherited]:guice-bean-converters:jar:[inherited],4.0.0,org.sonatype.sisu.inject:guice-bean:pom:1.4.2,null,guice-bean-converters,null,Guice - Bean converters,null,42700-11-02 23:40:00 UTC,,2,0,
ant:ant-nodeps:jar:1.6.2,4.0.0,,ant,ant-nodeps,1.6.2,null,null,37863-04-16 15:40:00 UTC,,0,0,
org.pegdown:pegdown:jar:1.0.2,4.0.0,,org.pegdown,pegdown,1.0.2,null,null,43478-04-14 02:03:20 UTC,,4,2,
[inherited]:maven-artifact:jar:[inherited],4.0.0,org.apache.maven:maven:pom:2.1.0,null,maven-artifact,null,Maven Artifact,null,41181-09-29 23:36:40 UTC,,2,0,
[inherited]:maven-project:jar:[inherited],4.0.0,org.apache.maven:maven:pom:2.1.0,null,maven-project,null,Maven Project Builder,null,41181-10-02 04:23:20 UTC,,10,0,
org.jdom:jdom:jar:1.1,4.0.0,,org.jdom,jdom,1.1,JDOM,http://www.jdom.org/,39838-10-27 20:36:40 UTC,,6,0,
org.jboss.logmanager:jboss-logmanager:jar:1.3.2.Final,4.0.0,org.jboss:jboss-parent:pom:9,org.jboss.logmanager,jboss-logmanager,1.3.2.Final,JBoss Log Manager,null,44571-02-02 11:03:20 UTC,,2,0,
[inherited]:guice-bean-containers:jar:[inherited],4.0.0,org.sonatype.sisu.inject:guice-bean:pom:2.2.3,null,guice-bean-containers,null,Sisu-Inject-Bean : Container API,null,43405-01-23 17:30:00 UTC,,11,0,
[inherited]:logback-core:jar:[inherited],4.0.0,ch.qos.logback:logback-parent:pom:0.9.28,null,logback-core,null,Logback Core Module,http://logback.qos.ch,43038-05-26 21:46:40 UTC,,7,0,
ch.qos.logback:logback-core:jar:${parent.version},4.0.0,ch.qos.logback:logback-parent:pom:0.9.20,ch.qos.logback,logback-core,${parent.version},Logback Core Module,http://logback.qos.ch,42219-09-21 08:33:20 UTC,,5,0,
net.sourceforge.htmlunit:htmlunit-core-js:jar:2.11,4.0.0,,net.sourceforge.htmlunit,htmlunit-core-js,2.11,HtmlUnit Core JS,http://htmlunit.sourceforge.net,44810-12-02 06:30:00 UTC,,0,0,
[inherited]:guice-plexus-converters:jar:[inherited],4.0.0,org.sonatype.sisu.inject:guice-plexus:pom:2.3.0,null,guice-plexus-converters,null,Sisu-Inject-Plexus : @Configuration conversion,null,43668-10-21 16:33:20 UTC,,5,0,
[inherited]:asm:bundle:1.0.2,4.0.0,net.minidev:parent:pom:2.1.0,null,asm,1.0.2,ASM helper Minidev,null,46917-02-04 12:53:20 UTC,,2,0,
org.simpleframework:simple-xml:jar:2.6.2,4.0.0,,org.simpleframework,simple-xml,2.6.2,Simple XML,http://simple.sourceforge.net,43758-11-15 09:13:20 UTC,,4,0,
junit:junit:jar:4.8,4.0.0,,junit,junit,4.8,JUnit,http://junit.org,42730-03-26 16:53:20 UTC,JUnit,0,0,
[inherited]:guice-plexus-locators:jar:[inherited],4.0.0,org.sonatype.sisu.inject:guice-plexus:pom:2.1.1,null,guice-plexus-locators,null,Guice - Plexus locators,null,43084-06-06 15:03:20 UTC,,5,0,
org.testng:testng:jar:5.14.9,4.0.0,org.sonatype.oss:oss-parent:pom:3,org.testng,testng,5.14.9,TestNG,http://testng.org,43065-06-13 10:40:00 UTC,,6,0,
[inherited]:guice-plexus-metadata:jar:[inherited],4.0.0,org.sonatype.sisu.inject:guice-plexus:pom:2.1.1,null,guice-plexus-metadata,null,Guice - Plexus metadata,null,43084-06-06 03:23:20 UTC,,3,0,
[inherited]:guice-bean-binders:jar:[inherited],4.0.0,org.sonatype.sisu.inject:guice-bean:pom:2.1.1,null,guice-bean-binders,null,Guice - Bean binders,null,43084-06-05 15:10:00 UTC,,7,0,
com.github.jnr:jffi:jar:1.2.11,4.0.0,org.sonatype.oss:oss-parent:pom:7,com.github.jnr,jffi,1.2.11,jffi,http://github.com/jnr/jffi,48155-03-10 01:36:40 UTC,,1,0,
net.sourceforge.cobertura:cobertura:jar:1.9.1,4.0.0,,net.sourceforge.cobertura,cobertura,1.9.1,Cobertura,http://cobertura.sourceforge.net,41318-03-26 02:06:40 UTC,,5,0,
com.headius:unsafe-mock:jar:8.92.1,4.0.0,org.sonatype.oss:oss-parent:pom:7,com.headius,unsafe-mock,8.92.1,unsafe-mock,https://github.com/headius/unsafe-mock,48297-10-22 10:56:40 UTC,,1,0,
org.slf4j:slf4j-jdk14:jar:[inherited],4.0.0,org.slf4j:slf4j-parent:pom:1.6.0,org.slf4j,slf4j-jdk14,null,SLF4J JDK14 Binding,http://www.slf4j.org,42319-10-07 13:00:00 UTC,,2,0,
net.sf.trove4j:trove4j:jar:3.0.3,4.0.0,,net.sf.trove4j,trove4j,3.0.3,GNU Trove,http://trove4j.sf.net,44394-03-22 03:33:20 UTC,,0,0,
org.eclipse.tycho:org.eclipse.osgi:jar:3.6.2.R36x_v20110210,4.0.0,,org.eclipse.tycho,org.eclipse.osgi,3.6.2.R36x_v20110210,null,null,43275-12-22 00:03:20 UTC,,0,0,
org.ops4j.base:ops4j-base-monitors:bundle:1.2.3,4.0.0,org.ops4j:base:pom:1.2.3,org.ops4j.base,ops4j-base-monitors,1.2.3,OPS4J Base - Monitors,null,43196-01-16 00:20:00 UTC,,0,0,
org.ops4j.base:ops4j-base-lang:bundle:1.2.3,4.0.0,org.ops4j:base:pom:1.2.3,org.ops4j.base,ops4j-base-lang,1.2.3,OPS4J Base - Lang,null,43196-01-15 19:20:00 UTC,,0,0,
[inherited]:guava:bundle:[inherited],4.0.0,com.google.guava:guava-parent:pom:30.1-jre,null,guava,null,Guava: Google Core Libraries for Java,null,52924-04-14 16:56:40 UTC,,6,0,
